,icao,wmo,faa,name,country,state,latitude,longitude,elevation,begin,end,station id,hadisd duplicate
55,KSBA,723925,23190,SANTA BARBARA MUNICIPAL AIRPORT,US,CA,34.424,-119.842,2.5,19730101,20220228,723925-23190,False
56,KSBP,722897,99999,SAN LUIS CO RGNL,US,CA,35.233,-120.633,65.0,19730227,20051231,722897-99999,False
57,KSCK,724920,23237,STOCKTON METROPOLITAN AIRPORT,US,CA,37.89,-121.226,8.3,19410103,20220228,724920-23237,False
58,KSEA,727930,24233,SEATTLE-TACOMA INTERNATIONAL AIRPORT,US,WA,47.445,-122.314,112.5,19480101,20220301,727930-24233,False
59,KSEE,722907,99999,GILLESPIE FLD,US,CA,32.833,-116.967,118.0,19730101,20051231,722907-99999,False
60,KSFO,724940,23234,SAN FRANCISCO INTERNATIONAL AIRPORT,US,CA,37.62,-122.366,3.2,19730101,20220228,724940-23234,False
61,KSGF,724400,13995,SPRINGFIELD-BRANSON REGIONAL AIRPORT,US,MO,37.24,-93.39,384.7,19730101,20220228,724400-13995,False
62,KSJC,724945,23293,N Y. MINETA SN JO INTL APT,US,CA,37.359,-121.924,15.0,19730101,20220228,724945-23293,False
63,KSLC,725720,24127,SALT LAKE CITY INTERNATIONAL AIRPORT,US,UT,40.771,-111.965,1288.4,19411101,20220228,725720-24127,False
64,KSMF,724839,93225,SACRAMENTO INTL AIRPORT,US,CA,38.701,-121.595,7.5,19730101,20220228,724839-93225,False
65,KSNA,722977,93184,J. WAYNE APT-ORANGE CO APT,US,CA,33.68,-117.867,13.0,19400617,20220228,722977-93184,False
66,KTRM,747187,03104,DESERT RESORTS RGNL ARPT,US,CA,33.632,-116.164,-36.0,19430712,20220228,747187-03104,False
67,KTUS,722740,23160,TUCSON INTERNATIONAL AIRPORT,US,AZ,32.132,-110.956,777.6,19730101,20220228,722740-23160,False
68,KTWF,725866,99999,JOSLIN FLD MAGIC VA,US,ID,42.483,-114.483,1265.0,19730101,20051231,725866-99999,False
69,KUKI,725905,23275,UKIAH MUNICIPAL AIRPORT,US,CA,39.128,-123.2,183.7,19730101,20220228,725905-23275,False
70,KWJF,723816,03159,GENERAL WILLIAM J. FOX AIRFIELD AIRPORT,US,CA,34.741,-118.213,712.6,19740601,20220228,723816-03159,False
71,KYKM,727810,24243,YAKIMA AIR TERMINAL/MCALSR FIELD AP,US,WA,46.564,-120.535,321.0,19730101,20220228,727810-24243,False
