,era-id,longitude,latitude,elevation,start-date,end-date,cleaned,time_cleaned,network,pr_15min_nobs,tas_nobs,tdps_nobs,tdps_derived_nobs,ps_nobs,psl_nobs,ps_altimeter_nobs,pr_nobs,pr_5min_nobs,pr_1h_nobs,pr_24h_nobs,pr_localmid_nobs,hurs_nobs,sfcwind_nobs,sfcwind_dir_nobs,rsds_nobs,total_nobs
15,ASOSAWOS_72036904135,-111.098,43.743,43.742,2006-10-24 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 11:57:12+00:00,ASOSAWOS,,175824.0,175658.0,0.0,169733.0,125551.0,175473.0,65997.0,0.0,0.0,0.0,0.0,0.0,175341.0,141888.0,0.0,179597.0
16,ASOSAWOS_72038500419,-105.766,39.8,4113.276,2007-04-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:01:06+00:00,ASOSAWOS,,296036.0,295259.0,0.0,193285.0,0.0,310856.0,9196.0,0.0,0.0,0.0,0.0,0.0,270165.0,265970.0,0.0,313223.0
17,ASOSAWOS_72038800469,-122.287,47.104,164.2872,2007-04-01 00:00:00+00:00,2022-12-29 00:00:00+00:00,Y,2023-02-07 12:02:44+00:00,ASOSAWOS,,374607.0,373954.0,0.0,193965.0,0.0,375794.0,12768.0,0.0,0.0,0.0,0.0,0.0,371627.0,91694.0,0.0,380196.0
18,ASOSAWOS_72040600135,-122.55,38.15,1.2192,2014-07-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 13:14:31+00:00,ASOSAWOS,,209737.0,209838.0,0.0,203354.0,0.0,210145.0,1728.0,0.0,0.0,0.0,0.0,0.0,208551.0,121289.0,0.0,212125.0
19,ASOSAWOS_72041100137,-105.29,36.422,2554.224,2009-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:05:51+00:00,ASOSAWOS,,375918.0,376416.0,0.0,200969.0,0.0,376367.0,8296.0,0.0,0.0,0.0,0.0,0.0,377001.0,239156.0,0.0,379549.0
20,ASOSAWOS_72051724165,-110.557,41.824,2220.4680000000003,2013-06-27 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 13:07:32+00:00,ASOSAWOS,,173331.0,173330.0,0.0,140274.0,0.0,177146.0,1636.0,0.0,0.0,0.0,0.0,0.0,176466.0,157010.0,0.0,178394.0
21,ASOSAWOS_72051800449,-110.406,41.393,2145.4872,2013-08-01 00:00:00+00:00,2022-09-21 00:00:00+00:00,Y,2023-02-07 13:09:34+00:00,ASOSAWOS,,180247.0,180245.0,0.0,149062.0,0.0,180251.0,0.0,0.0,0.0,0.0,0.0,0.0,179911.0,165116.0,0.0,181428.0
22,ASOSAWOS_72052100475,-106.828,41.444,2138.4768,2013-05-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 13:05:18+00:00,ASOSAWOS,,241343.0,241357.0,0.0,202046.0,0.0,241450.0,0.0,0.0,0.0,0.0,0.0,0.0,238332.0,208125.0,0.0,243166.0
23,ASOSAWOS_72052200443,-109.69,43.548,2224.1256000000003,2013-05-14 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 13:06:23+00:00,ASOSAWOS,,234104.0,234096.0,0.0,195067.0,0.0,230528.0,2.0,0.0,0.0,0.0,0.0,0.0,231636.0,216877.0,0.0,236846.0
24,ASOSAWOS_72052900429,-108.563,38.239,1810.512,2012-12-06 00:00:00+00:00,2021-10-16 00:00:00+00:00,Y,2023-02-07 13:03:05+00:00,ASOSAWOS,,183765.0,183753.0,0.0,136435.0,0.0,183595.0,0.0,0.0,0.0,0.0,0.0,0.0,185262.0,147354.0,0.0,187019.0
25,ASOSAWOS_72053100158,-108.067,38.783,1583.1312,2012-02-09 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:59:04+00:00,ASOSAWOS,,262337.0,262304.0,0.0,194918.0,0.0,262754.0,3231.0,0.0,0.0,0.0,0.0,0.0,253502.0,182455.0,0.0,264209.0
26,ASOSAWOS_72053200159,-106.05,38.533,2294.2296,2009-11-21 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:25:39+00:00,ASOSAWOS,,291285.0,291152.0,0.0,198142.0,2.0,295439.0,0.0,0.0,0.0,0.0,0.0,0.0,294821.0,248185.0,0.0,295443.0
27,ASOSAWOS_72053300160,-105.217,40.033,1612.0872000000002,2010-02-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:30:18+00:00,ASOSAWOS,,324076.0,323982.0,0.0,204072.0,0.0,324528.0,6404.0,0.0,0.0,0.0,0.0,0.0,324524.0,217434.0,0.0,328593.0
28,ASOSAWOS_72053400161,-105.05,40.017,1564.2336,2014-07-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 13:11:25+00:00,ASOSAWOS,,210741.0,210807.0,0.0,196694.0,0.0,209150.0,0.0,0.0,0.0,0.0,0.0,0.0,211193.0,126712.0,0.0,213715.0
29,ASOSAWOS_72053500162,-103.8,40.333,1393.2408,2012-07-26 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 13:00:59+00:00,ASOSAWOS,,253889.0,253674.0,0.0,200507.0,0.0,257450.0,99.0,0.0,0.0,0.0,0.0,0.0,254917.0,228423.0,0.0,259237.0
30,ASOSAWOS_72053700163,-102.267,40.567,1137.2088,2010-11-29 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:41:04+00:00,ASOSAWOS,,281209.0,281554.0,0.0,185617.0,0.0,281493.0,3241.0,0.0,0.0,0.0,0.0,0.0,281696.0,262716.0,0.0,286280.0
31,ASOSAWOS_72053800164,-105.167,40.167,1541.0688,2010-12-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:45:26+00:00,ASOSAWOS,,290876.0,290925.0,0.0,197670.0,0.0,291602.0,5292.0,0.0,0.0,0.0,0.0,0.0,291780.0,190735.0,0.0,294112.0
32,ASOSAWOS_72053900165,-107.05,37.283,2335.0728,2009-10-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:23:21+00:00,ASOSAWOS,,324514.0,324450.0,0.0,203608.0,0.0,330627.0,0.0,0.0,0.0,0.0,0.0,0.0,330618.0,145858.0,0.0,333965.0
33,ASOSAWOS_72054400168,-103.267,40.617,1231.0872000000002,2010-11-29 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:42:30+00:00,ASOSAWOS,,292102.0,292615.0,0.0,197806.0,0.0,294056.0,3440.0,0.0,0.0,0.0,0.0,0.0,293903.0,251060.0,0.0,296494.0
34,ASOSAWOS_72054900171,-119.733,39.183,1432.2552,2010-07-14 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:35:01+00:00,ASOSAWOS,,309232.0,309147.0,0.0,198204.0,0.0,309257.0,2148.0,0.0,0.0,0.0,0.0,0.0,308286.0,180841.0,0.0,310822.0
35,ASOSAWOS_72056724180,-112.062,41.552,1288.0848,2014-07-24 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 13:12:31+00:00,ASOSAWOS,,211133.0,211092.0,0.0,174769.0,0.0,211183.0,0.0,0.0,0.0,0.0,0.0,0.0,200087.0,113179.0,0.0,211183.0
36,ASOSAWOS_72057600174,-121.783,38.533,21.0312,2009-01-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:07:38+00:00,ASOSAWOS,,302116.0,299172.0,0.0,189771.0,0.0,306631.0,7326.0,0.0,0.0,0.0,0.0,0.0,298860.0,208989.0,0.0,307459.0
37,ASOSAWOS_72061400205,-121.351,38.909,37.1856,2009-05-10 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:15:57+00:00,ASOSAWOS,,342926.0,342935.0,0.0,203569.0,0.0,344846.0,7570.0,0.0,0.0,0.0,0.0,0.0,343411.0,266357.0,0.0,346152.0
38,ASOSAWOS_72061500206,-120.417,38.033,646.176,2009-01-20 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:09:11+00:00,ASOSAWOS,,332354.0,332317.0,0.0,184049.0,0.0,330917.0,12115.0,0.0,0.0,0.0,0.0,0.0,325206.0,121758.0,0.0,332849.0
39,ASOSAWOS_72063500221,-112.2,35.3,2035.1496,2009-05-08 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:14:25+00:00,ASOSAWOS,,307245.0,307226.0,0.0,176609.0,0.0,307355.0,3890.0,0.0,0.0,0.0,0.0,0.0,306753.0,272681.0,0.0,310421.0
40,ASOSAWOS_72063800224,-121.2,44.095,1055.2176,2009-05-24 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:17:38+00:00,ASOSAWOS,,339337.0,338864.0,0.0,200603.0,0.0,340055.0,4819.0,0.0,0.0,0.0,0.0,0.0,338836.0,238177.0,0.0,344550.0
41,ASOSAWOS_72064400226,-112.683,33.417,311.2008,2013-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 13:04:04+00:00,ASOSAWOS,,240391.0,239036.0,0.0,194270.0,0.0,240993.0,1446.0,0.0,0.0,0.0,0.0,0.0,239932.0,194985.0,0.0,244470.0
42,ASOSAWOS_72064500227,-120.75,38.717,787.2984,2009-07-11 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:19:19+00:00,ASOSAWOS,,297272.0,296650.0,0.0,189417.0,0.0,295296.0,14838.0,0.0,0.0,0.0,0.0,0.0,297321.0,247132.0,0.0,298208.0
43,ASOSAWOS_72064600228,-122.501,37.513,20.1168,2009-07-17 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:20:51+00:00,ASOSAWOS,,363707.0,358642.0,0.0,213214.0,0.0,363815.0,8634.0,0.0,0.0,0.0,0.0,0.0,360623.0,285595.0,0.0,370434.0
44,ASOSAWOS_72065200433,-119.519,38.356,2057.0952,2009-08-27 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:22:29+00:00,ASOSAWOS,,116884.0,117189.0,0.0,72782.0,102000.0,117630.0,24089.0,0.0,0.0,0.0,0.0,0.0,116913.0,50530.0,0.0,119390.0
45,ASOSAWOS_72073400264,-116.523,43.581,773.2776,2010-05-14 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:31:56+00:00,ASOSAWOS,,315905.0,315752.0,0.0,200340.0,0.0,315949.0,4301.0,0.0,0.0,0.0,0.0,0.0,313854.0,225429.0,0.0,316985.0
46,ASOSAWOS_72074100269,-114.861,35.947,671.1696000000001,2010-06-24 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:33:27+00:00,ASOSAWOS,,312284.0,311758.0,0.0,201316.0,0.0,312301.0,498.0,0.0,0.0,0.0,0.0,0.0,311839.0,214744.0,0.0,314361.0
47,ASOSAWOS_72074924255,-122.667,48.35,14.3256,2005-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 08:36:19+00:00,ASOSAWOS,,183162.0,183141.0,0.0,140651.0,154614.0,183165.0,116095.0,0.0,0.0,0.0,0.0,0.0,183210.0,157686.0,0.0,189121.0
48,ASOSAWOS_72083900279,-119.876,39.667,1540.1544,2011-09-21 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:52:43+00:00,ASOSAWOS,,279511.0,279431.0,0.0,201063.0,0.0,279553.0,3367.0,0.0,0.0,0.0,0.0,0.0,279030.0,214397.0,0.0,281118.0
49,ASOSAWOS_72085200280,-104.57,38.946,2095.1952,2010-12-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:43:59+00:00,ASOSAWOS,,291318.0,291253.0,0.0,197249.0,0.0,295254.0,0.0,0.0,0.0,0.0,0.0,0.0,291049.0,267358.0,0.0,297648.0
50,ASOSAWOS_72092300310,-116.295,48.726,711.0984000000001,2011-01-18 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:46:53+00:00,ASOSAWOS,,288750.0,287802.0,0.0,194573.0,0.0,288841.0,13571.0,0.0,0.0,0.0,0.0,0.0,288797.0,139663.0,0.0,291198.0
51,ASOSAWOS_72096900341,-107.167,44.15,2741.0664,2012-01-30 00:00:00+00:00,2012-12-13 00:00:00+00:00,Y,2023-02-07 12:57:40+00:00,ASOSAWOS,,6352.0,6348.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.0,2452.0,2290.0,0.0,6462.0
